Country,Average Life Ladder (2013-2023),Count
Afghanistan,2.6920273436440363,9
Albania,4.984807872772217,10
Algeria,5.365665376186371,8
Angola,3.794837951660156,1
Argentina,6.217622184753418,10
Armenia,4.925194157494439,9
Australia,7.1823962211608885,10
Austria,7.088740062713623,10
Azerbaijan,5.1232550740242,8
Bahrain,6.257108552115304,7
Bangladesh,4.467277097702026,10
Belarus,5.55289101600647,6
Belgium,6.8822132587432865,10
Belize,5.955646514892578,1
Benin,4.416714668273926,10
Bhutan,5.010353326797485,2
Bolivia,5.762606000900268,10
Bosnia and Herzegovina,5.568509912490844,10
Botswana,3.562044143676758,8
Brazil,6.3807155132293705,10
Bulgaria,5.14329195022583,10
Burkina Faso,4.462032079696655,9
Burundi,3.339909076690674,2
Cambodia,4.461644697189331,10
Cameroon,4.921824550628662,10
Canada,7.138479995727539,10
Central African Republic,3.0844615697860718,2
Chad,4.256126433610916,8
Chile,6.388592720031738,10
China,5.441973527272542,9
Colombia,6.035647821426392,10
Comoros,3.9286739826202393,4
Congo (Brazzaville),4.921148347854614,10
Congo (Kinshasa),3.956767439842224,6
Costa Rica,6.980823087692261,10
Croatia,5.6840039730072025,10
Cyprus,5.980059432983398,10
Czechia,6.779197745853001,9
Denmark,7.577779388427734,10
Dominican Republic,5.536917352676392,10
Ecuador,5.833024406433106,10
Egypt,4.286932444572448,10
El Salvador,6.191755962371826,10
Estonia,6.069237279891968,10
Eswatini,4.036560932795207,3
Ethiopia,4.256302542156643,9
Finland,7.703070211410522,10
France,6.583151865005493,10
Gabon,4.809623336791992,10
Gambia,4.634774017333984,5
Georgia,4.753734922409057,10
Germany,6.959039497375488,10
Ghana,4.599923229217529,10
Greece,5.577941608428955,10
Guatemala,6.393180549144745,8
Guinea,4.547504544258118,10
Haiti,3.649926948547363,5
Honduras,5.7015317810906305,9
Hong Kong S.A.R. of China,5.41520711353847,7
Hungary,5.806597661972046,10
Iceland,7.52091771364212,8
India,4.044652962684632,10
Indonesia,5.310258674621582,10
Iran,4.771957588195801,10
Iraq,4.786490811241998,9
Ireland,6.971554613113403,10
Israel,7.244724321365356,10
Italy,6.2448296546936035,10
Ivory Coast,4.875364470481872,10
Jamaica,5.769741694132487,6
Japan,5.9666660785675045,10
Jordan,4.655924463272095,10
Kazakhstan,6.034951543807983,10
Kenya,4.5363832950592045,10
Kosovo,6.078397798538208,10
Kuwait,6.337357657296317,7
Kyrgyzstan,5.501687955856323,10
Laos,5.048334326062884,7
Latvia,6.033146715164184,10
Lebanon,4.077401471138001,10
Lesotho,3.5753621459007263,4
Liberia,4.105583310127258,8
Libya,5.60722896030971,7
Lithuania,6.31947546005249,10
Luxembourg,7.064007997512817,8
Madagascar,3.9839570224285126,8
Malawi,3.643418894873725,9
Malaysia,5.874064207077026,8
Maldives,5.197574615478516,1
Mali,4.3681505680084225,10
Malta,6.516933917999268,10
Mauritania,4.379741191864014,8
Mauritius,5.8909885618421765,9
Mexico,6.513118648529053,10
Moldova,5.758223056793213,10
Mongolia,5.43257851600647,10
Montenegro,5.499770323435466,9
Morocco,5.002996020846897,9
Mozambique,4.862591539110456,7
Myanmar,4.412753295898438,10
Namibia,4.653962254524231,8
Nepal,5.145008945465088,10
Netherlands,7.399686288833618,10
New Zealand,7.219736909866333,10
Nicaragua,6.175659465789795,10
Niger,4.497532159090042,8
Nigeria,5.0153979725307885,9
North Macedonia,5.2172668933868405,10
Norway,7.430426836013794,10
Pakistan,5.014329957962036,10
Panama,6.373873127831353,9
Paraguay,5.697094652387831,9
Peru,5.705011892318725,10
Philippines,5.724517488479615,10
Poland,6.194266986846924,10
Portugal,5.723857069015503,10
Qatar,6.3745293617248535,1
Romania,6.210341262817383,10
Russia,5.727266311645508,10
Rwanda,3.3915583292643228,6
Saudi Arabia,6.464958143234253,10
Senegal,4.820659971237182,10
Serbia,5.875651550292969,10
Sierra Leone,3.9694967004987927,9
Singapore,6.491159703996447,9
Slovakia,6.242729520797729,10
Slovenia,6.312985277175903,10
Somalia,5.183286190032959,3
South Africa,5.012016677856446,10
South Korea,5.913640975952148,10
South Sudan,3.401874601840973,4
Spain,6.412146854400635,10
Sri Lanka,4.2586732440524635,9
State of Palestine,4.7184165716171265,8
Sudan,4.138672828674316,1
Sweden,7.330211639404297,10
Switzerland,7.388864660263062,10
Syria,3.4619128704071045,1
Taiwan Province of China,6.495029163360596,10
Tajikistan,5.313041734695434,10
Tanzania,3.560303521156311,10
Thailand,6.104559755325317,10
Togo,3.9654997454749212,9
Trinidad and Tobago,6.191859722137451,1
Tunisia,4.55939211845398,10
Turkmenistan,5.464990218480428,6
TÃ¼rkiye,5.186984252929688,10
Uganda,4.326780772209167,10
Ukraine,4.585621356964111,10
United Arab Emirates,6.695059728622437,10
United Kingdom,6.863670825958252,10
United States,6.883764457702637,10
Uruguay,6.481302738189697,10
Uzbekistan,6.11239104270935,10
Venezuela,5.22989673614502,10
Vietnam,5.4755998134613035,10
Yemen,3.5507752001285553,8
Zambia,4.015142107009888,10
Zimbabwe,3.4754331588745115,10
